# slug	url
# Podio
2-3-datos	https://jjallaire.github.io/gapminder-dashboard/
abejas-astutas	https://jjallaire.github.io/gapminder-dashboard/
ashira	https://jjallaire.github.io/gapminder-dashboard/
# Menciones
bladerunners	https://jjallaire.github.io/gapminder-dashboard/
codigo-guinda	https://jjallaire.github.io/gapminder-dashboard/
datofilods	https://jjallaire.github.io/gapminder-dashboard/
derre	https://jjallaire.github.io/gapminder-dashboard/
emprendeia	https://jjallaire.github.io/gapminder-dashboard/
huerfanitosutm	https://jjallaire.github.io/gapminder-dashboard/
linuxitos	https://jjallaire.github.io/gapminder-dashboard/
lobo-ensambladores	https://jjallaire.github.io/gapminder-dashboard/
mareadedatods	https://jjallaire.github.io/gapminder-dashboard/
patosclimaticods	https://jjallaire.github.io/gapminder-dashboard/
pcaboys	https://jjallaire.github.io/gapminder-dashboard/
pumatecnicos	https://jjallaire.github.io/gapminder-dashboard/
tlamatipohua	https://jjallaire.github.io/gapminder-dashboard/
trio-tristeza	https://jjallaire.github.io/gapminder-dashboard/
typers	https://jjallaire.github.io/gapminder-dashboard/
upiit-machine	https://jjallaire.github.io/gapminder-dashboard/
voces-ods-2030	https://jjallaire.github.io/gapminder-dashboard/
